aa|Afaraf|Afar
ab|Аҧсуа|Abkhazian
ae|Avesta|Avestan
af|Afrikaans|Afrikaans
ak|Akan|Akan
am|አማርኛ|Amharic
an|Aragonés|Aragonese
ar|العَرَبِيَّة|Arabic
as|অসমীয়া|Assamese
av|Авар|Avaric
ay|Aymar|Aymara
az|Azərbaycanca|Azerbaijani
ba|Башҡорт|Bashkir
be|Беларуская|Belarusian
bg|Български|Bulgarian
bh|भोजपुरी|Bihari languages
bi|Bislama|Bislama
bm|Bamanankan|Bambara
bn|বাংলা|Bengali
bo|བོད་ཡིག|Tibetan
br|Brezhoneg|Breton
bs|Bosanski|Bosnian
ca|Català|Catalan
ce|Нохчийн|Chechen
ch|Chamoru|Chamorro
co|Corsu|Corsican
cr|Nehiyaw|Cree
cs|Česky|Czech
cu|Church Slavic|Church Slavic
cv|Чăваш|Chuvash
cy|Cymraeg|Welsh
da|Dansk|Danish
de|Deutsch|German
dv|ދިވެހި|Dhivehi
dz|རྫོང་ཁ|Dzongkha
ee|Eʋegbe|Ewe
el|Ελληνικά|Modern Greek (1453-)
en|English|English
eo|Esperanto|Esperanto
es|Español|Spanish
et|Eesti|Estonian
eu|Euskara|Basque
fa|فارسی|Persian
ff|Fulfulde|Fulah
fi|Suomi|Finnish
fj|Na Vosa Vakaviti|Fijian
fo|Føroyskt|Faroese
fr|Français|French
fy|Frysk|Western Frisian
ga|Gaeilge|Irish
gd|Gàidhlig|Scottish Gaelic
gl|Galego|Galician
gn|Avañe'ẽ|Guarani
gu|ગુજરાતી|Gujarati
gv|Gaelg|Manx
ha|هَوُسَ|Hausa
he|עברית|Hebrew
hi|हिन्दी|Hindi
ho|Hiri Motu|Hiri Motu
hr|Hrvatski|Croatian
ht|Kreyòl ayisyen|Haitian
hu|Magyar|Hungarian
hy|Հայերեն|Armenian
hz|Otjiherero|Herero
ia|Interlingua|Interlingua (International Auxiliary Language Association)
id|Bahasa Indonesia|Indonesian
ie|Interlingue|Interlingue
ig|Igbo|Igbo
ii|四川彝语|Sichuan Yi
ik|Iñupiak|Inupiaq
in|bahasa Indonesia|Indonesian
io|Ido|Ido
is|Íslenska|Icelandic
it|Italiano|Italian
iu|ᐃᓄᒃᑎᑐᑦ|Inuktitut
